BGP4MP|01/01/17 12:00:01|STATE|193.203.0.82|20920|3|2
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:ff02::/48|6939 12859 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:ff02::/48|6939 12859 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:ff02::/48|6939 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:ff02::/48|6939 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:02|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:ff02::/48|13030 6939 12654|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90af::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90af::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ae::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ae::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ad::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90ad::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:9081::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:9081::/48|6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:03|A|2001:7f8:30:0:2:1:0:6939|6939|2804:14d:90a6::/48|6939 4230 28573|IGP
